"Add to Cart","कार्टमा थप्नुहोस्"
"Shipping Methods","ढुवानी विधिहरू"
"Next","अर्को"
"Review & Payments","समीक्षा र भुक्तानी"
"Order Summary","अर्डर सारांश"
"Payment Method","भुक्तानी विधि"
"Cart Subtotal","कार्ट सबटोटल"
"You will be charged for","यसको लागि तपाईंलाई चार्ज गरिनेछ"
"Apply Discount Code","छुट कोड लागू गर्नुहोस्"
"Cancel coupon","कुपन रद्द गर्नुहोस्"
"%1 Item in Cart","कार्टमा %1 वस्तु"
"View and Edit Cart","कार्ट हेर्नुहोस् र सम्पादन गर्नुहोस्"
"Send us a message","हामीलाई सन्देश पठाउनुहोस्"
"Features","विशेषताहरू"
"Technical Specs","प्राविधिक विवरणहरू"
"Country Coverage","देशको दायरा"
"Start enjoying unlimited data","असीमित डाटाको आनन्द लिन सुरु गर्नुहोस्"
"Number of Days","दिनहरूको संख्या"
"Advantages of using our eSIM","हाम्रो eSIM प्रयोग गर्दा फाइदाहरू"
"Default Title","पूर्वनिर्धारित शीर्षक"
"Default Description","पूर्वनिर्धारित विवरण"
"How Does the Holiday eSIM for Europe Work?","युरोपको लागि होलिडे eSIM कसरी काम गर्छ?"
"Device compatibility","उपकरण अनुकूलता"
"Buy your prepaid eSIM","आफ्नो प्रिपेड eSIM खरीद गर्नुहोस्"
"Scan the QR code","QR कोड स्क्यान गर्नुहोस्"
"Check if your smartphone is compatible with our eSIM","तपाईंको स्मार्टफोन हाम्रो eSIM सँग अनुकूल छ कि छैन जाँच गर्नुहोस्"
"Choose the plan that suits you best and buy your eSIM card from our online store.","आफ्नो लागि सबैभन्दा उपयुक्त योजना चयन गर्नुहोस् र हाम्रो अनलाइन स्टोरबाट आफ्नो eSIM कार्ड खरीद गर्नुहोस्।"
"It’s easy. Just scan the QR code we send you and turn on data roaming from your settings. Now you can enjoy browsing the web.","यो सजिलो छ। हामीले तपाईंलाई पठाएको QR कोड स्क्यान गर्नुहोस् र सेटिङहरूबाट डाटा रोमिङ चालू गर्नुहोस्। अब तपाईं वेब ब्राउजिङको आनन्द लिन सक्नुहुन्छ।"
"check compatibility now","अब अनुकूलता जाँच गर्नुहोस्"
"Experience fast and reliable connection with our eSIM","हाम्रो eSIM सँग छिटो र भरपर्दो कनेक्शनको अनुभव गर्नुहोस्"
"Clear video calls with no delays","ढिलाइ बिना स्पष्ट भिडियो कलहरू गर्नुहोस्"
"Share stories in just a few seconds","केवल केही सेकेन्डमा कथाहरू साझा गर्नुहोस्"
"Enjoy creating video content and super fast uploading","भिडियो सामग्री सिर्जना र छिटो अपलोडको आनन्द लिनुहोस्"
"Find your way wherever you go!","जहाँ जानुभयो त्यहाँ आफ्नो बाटो फेला पार्नुहोस्!"
"The best performance in all your apps","सबै एपहरूमा उत्कृष्ट प्रदर्शन"
"Discover the freedom of reliable connectivity with high speed 4G and 5G. Holiday esim keeps you connected, no matter the adventure!","उच्च गतिको 4G र 5G सँग भरपर्दो कनेक्टिभिटीको स्वतन्त्रता पत्ता लगाउनुहोस्। होलिडे eSIM ले तपाईंलाई जहाँ भए पनि जडित राख्छ!"
